,0,1,2,3,4,5,6,7,8
4,204,"Kosta Koufos, C",SAC,71,19.6,-1.85,0.87,-0.98,1.86
5,205,"Marreese Speights, PF",ORL,52,13.0,0.06,1.12,1.18,1.85
6,206,"Marco Belinelli, SG",ATL/PHI,80,24.3,1.18,-2.85,-1.67,1.84
7,207,"Kris Dunn, PG",CHI,52,29.3,-0.69,-0.59,-1.28,1.84
8,208,"Vince Carter, SG",SAC,58,17.7,-1.16,0.89,-0.27,1.82
9,209,"Alex Len, C",PHX,69,20.2,-1.24,0.07,-1.17,1.82
10,210,"Dennis Schroder, PG",ATL,67,31.0,0.85,-2.65,-1.80,1.78
11,211,"Channing Frye, PF",CLE/LAL,53,13.1,-0.04,0.78,0.74,1.75
12,212,"Manu Ginobili, SG",SA,65,20.0,0.67,-1.69,-1.02,1.73
13,213,"Michael Kidd-Gilchrist, SF",CHA,74,25.0,-1.99,0.31,-1.68,1.73
14,214,"Michael Beasley, SF",NY,74,22.3,-0.43,-1.07,-1.50,1.72
15,215,"Eric Moreland, PF",DET,67,12.0,-3.00,3.23,0.23,1.67
16,216,"Omri Casspi, F",GS,53,14.0,-0.85,1.11,0.26,1.66
17,217,"T.J. McConnell, PG",PHI,76,22.4,-1.68,-0.02,-1.70,1.61
18,218,"Jordan Clarkson, PG",CLE/LAL,81,23.3,-0.05,-1.83,-1.88,1.53
19,219,"Pat Connaughton, SG",POR,82,18.1,-0.14,-1.38,-1.52,1.51
20,220,"Tyler Zeller, C",MIL/BKN,66,16.8,-1.73,0.59,-1.14,1.43
21,221,"Dwyane Wade, SG",CLE/MIA,67,22.9,-1.92,0.23,-1.69,1.42
22,222,"Gerald Green, SG",HOU,41,22.7,0.02,-0.76,-0.74,1.41
23,223,"Dante Cunningham, SF",NO/BKN,73,21.4,-1.73,-0.06,-1.79,1.36
24,224,"Marquese Chriss, PF",PHX,72,21.2,-2.44,0.65,-1.79,1.36
25,225,"Jared Dudley, SF",PHX,48,14.3,-0.93,0.82,-0.11,1.35
26,226,"Tony Snell, SG",MIL,75,27.4,-0.13,-1.97,-2.10,1.35
27,227,"Richaun Holmes, PF",PHI,48,15.5,-0.93,0.52,-0.41,1.35
28,228,"Raymond Felton, PG",OKC,82,16.6,-0.43,-1.09,-1.52,1.31
29,229,"JR Smith, SG",CLE,80,28.1,-0.01,-2.22,-2.23,1.29
30,230,"Alex Abrines, SG",OKC,75,15.1,-0.32,-0.96,-1.28,1.28
31,231,"Jae Crowder, PF",CLE/UTAH,80,26.1,-0.93,-1.24,-2.17,1.27
32,232,"Caris LeVert, SG",BKN,71,26.3,-0.58,-1.49,-2.07,1.27
33,233,"Lucas Nogueira, C",TOR,49,8.5,-1.30,2.91,1.61,1.27
34,234,"Bryn Forbes, SG",SA,80,19.0,0.36,-2.17,-1.81,1.26
35,235,"Maurice Harkless, SF",POR,59,21.4,-1.29,-0.27,-1.56,1.24
36,236,"Cody Zeller, C",CHA,33,19.0,-1.32,1.26,-0.06,1.22
37,237,"Jarrett Allen, C",BKN,72,20.0,-2.52,0.70,-1.82,1.21
38,238,"Danilo Gallinari, SF",LAC,21,32.0,-1.44,1.14,-0.30,1.20
39,239,"Mario Hezonja, SF",ORL,75,22.1,-0.71,-1.30,-2.01,1.19
40,240,"Elfrid Payton, PG",ORL/PHX,63,28.7,-0.18,-1.96,-2.14,1.18
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,241,"Quincy Acy, SF",BKN,70,19.4,-1.47,-0.35,-1.82,1.13
2,242,"Willy Hernangomez, C",NY/CHA,48,10.3,-1.08,1.46,0.38,1.13
3,243,"Sindarius Thornwell, SG",LAC,73,15.8,-3.08,1.44,-1.64,1.12
4,244,"Mike Scott, PF",WSH,76,18.5,-0.23,-1.66,-1.89,1.11
5,245,"Marcus Morris, PF",BOS,54,26.7,-0.60,-1.33,-1.93,1.10
6,246,"Robin Lopez, C",CHI,64,26.4,-2.91,0.79,-2.12,1.09
7,247,"Garrett Temple, SF",SAC,65,24.8,-1.60,-0.45,-2.05,1.09
8,248,"Doug McDermott, SF",DAL/NY,81,21.8,-0.45,-1.71,-2.16,1.09
9,249,"Andrew Harrison, SG",MEM,56,23.7,-1.08,-0.71,-1.79,1.08
10,250,"Trey Burke, PG",NY,36,21.8,2.11,-3.16,-1.05,1.05
11,251,"Jason Terry, SG",MIL,51,16.0,-1.40,0.30,-1.10,1.04
12,252,"TJ Warren, SF",PHX,65,33.0,-0.29,-2.10,-2.39,1.04
13,253,"JaVale McGee, C",GS,65,9.5,-0.71,0.09,-0.62,1.03
14,254,"Sam Dekker, SF",LAC,73,12.1,-1.86,0.44,-1.42,0.99
15,255,"Trevor Booker, PF",IND/BKN/PHI,68,17.0,-1.15,-0.27,-1.42,0.98
16,256,"James Ennis III, SF",DET/MEM,72,22.3,-0.99,-1.17,-2.16,0.96
17,257,"Boban Marjanovic, C",DET/LAC,39,8.7,-0.38,1.51,1.13,0.95
18,258,"Shane Larkin, PG",BOS,54,14.4,-1.88,0.70,-1.18,0.94
19,259,"Raul Neto, PG",UTAH,41,12.1,-0.81,0.66,-0.15,0.94
20,260,"Willie Reed, C",DET/LAC,42,10.2,-0.65,0.78,0.13,0.93
21,261,"Michael Carter-Williams, PG",CHA,52,16.1,-2.51,1.17,-1.34,0.93
22,262,"Wesley Matthews, SG",DAL,63,33.8,-0.47,-1.99,-2.46,0.89
23,263,"Greg Monroe, C",BOS/MIL/PHX,51,20.4,-1.08,-0.70,-1.78,0.89
24,264,"Tim Frazier, PG",WSH,59,14.2,-1.79,0.32,-1.47,0.88
25,265,"Khem Birch, C",ORL,42,13.8,-1.27,0.53,-0.74,0.87
26,266,"Shaquille Harrison, PG",PHX,23,16.7,-0.61,0.82,0.21,0.87
27,267,"Mike James, PG",NO/PHX,36,19.1,-0.41,-0.79,-1.20,0.86
28,268,"Noah Vonleh, PF",CHI/POR,54,16.2,-3.14,1.54,-1.60,0.86
29,269,"Brandan Wright, F",HOU/MEM,28,13.6,-1.28,1.77,0.49,0.85
30,270,"Isaiah Taylor, PG",ATL,67,17.4,-1.31,-0.72,-2.03,0.84
31,271,"Cedi Osman, SF",CLE,61,11.0,-0.40,-0.83,-1.23,0.81
32,272,"Shaun Livingston, PG",GS,71,15.9,-1.72,-0.33,-2.05,0.79
33,273,"Tyler Ennis, PG",LAL,54,12.6,-2.31,0.93,-1.38,0.77
34,274,"Ivica Zubac, C",LAL,43,9.5,-2.16,1.85,-0.31,0.74
35,275,"Nerlens Noel, C",DAL,30,15.7,-3.17,2.43,-0.74,0.72
36,276,"Al Jefferson, C",IND,36,13.4,-1.75,0.94,-0.81,0.70
37,277,"Luke Babbitt, SF",ATL/MIA,50,14.3,-0.51,-1.11,-1.62,0.70
38,278,"Tyler Cavanaugh, F",ATL,39,13.3,-0.59,-0.44,-1.03,0.69
39,279,"Treveon Graham, SG",CHA,63,16.7,-1.34,-0.76,-2.10,0.68
40,280,"Isaiah Canaan, PG",HOU/PHX,20,21.1,-0.31,-0.35,-0.66,0.66
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,281,"Ron Baker, SG",NY,29,13.3,-1.33,0.91,-0.42,0.66
2,282,"Nick Young, SG",GS,80,17.4,0.00,-2.41,-2.41,0.65
3,283,"JaKarr Sampson, SF",SAC,22,15.6,-2.16,1.92,-0.24,0.62
4,284,"Jamil Wilson, SF",LAC,15,18.3,-0.64,0.91,0.27,0.59
5,285,"Damion Lee, SG",ATL,15,26.9,-1.78,0.80,-0.98,0.58
6,286,"Cameron Payne, PG",CHI,25,23.3,-0.81,-0.82,-1.63,0.57
7,287,"Mike Conley, PG",MEM,12,31.1,-0.67,-0.02,-0.69,0.56
8,288,"Terrence Ross, SG",ORL,24,25.0,-2.24,0.53,-1.71,0.56
9,289,"Sterling Brown, SG",MIL,54,14.4,-2.74,0.75,-1.99,0.56
10,290,"Frank Ntilikina, PG",NY,78,21.9,-2.62,0.00,-2.62,0.55
11,291,"Kawhi Leonard, SF",SA,9,23.3,-1.18,1.97,0.79,0.53
12,292,"Alec Burks, SG",UTAH,64,16.5,-0.73,-1.63,-2.36,0.51
13,293,"D'Angelo Russell, PG",BKN,48,25.7,0.26,-2.75,-2.49,0.51
14,294,"Timofey Mozgov, C",BKN,31,11.6,-3.04,2.03,-1.01,0.50
15,295,"C.J. Williams, SF",LAC,38,18.6,-1.85,-0.19,-2.04,0.49
16,296,"Kenneth Faried, PF",DEN,32,14.4,-1.93,0.47,-1.46,0.48
17,297,"Quinn Cook, PG",GS,33,22.4,-0.09,-2.04,-2.13,0.48
18,298,"Andrew Bogut, C",LAL,24,9.0,-2.18,2.31,0.13,0.47
19,299,"Meyers Leonard, C",POR,33,7.7,-0.82,0.51,-0.31,0.47
20,300,"Glenn Robinson III, SG",IND,23,14.7,-1.61,0.56,-1.05,0.45
