,0,1,2,3
15,334,"CJ Wilcox, SG",Orlando Magic,"$1,209,600"
16,335,"Larry Nance Jr., PF",Los Angeles Lakers,"$1,207,680"
17,336,"Pascal Siakam, PF",Toronto Raptors,"$1,196,040"
18,337,"Kyle Anderson, SF",San Antonio Spurs,"$1,192,080"
19,338,"Chris McCullough, PF",Washington Wizards,"$1,191,480"
20,339,"Josh Huestis, SG",Oklahoma City Thunder,"$1,191,480"
21,340,"Livio Jean-Charles, SF",San Antonio Spurs,"$1,188,840"
22,RK,NAME,TEAM,SALARY
23,341,"Skal Labissiere, PF",Sacramento Kings,"$1,188,840"
24,342,"Kevon Looney, SF",Golden State Warriors,"$1,182,840"
25,343,"Dejounte Murray, PG",San Antonio Spurs,"$1,180,080"
26,344,"Damian Jones, C",Golden State Warriors,"$1,171,560"
27,345,"Isaiah Whitehead, SG",Brooklyn Nets,"$1,074,145"
28,346,"Joe Young, PG",Indiana Pacers,"$1,052,342"
29,347,"Rakeem Christmas, PF",Indiana Pacers,"$1,052,342"
30,348,"Tony Wroten, SG",Memphis Grizzlies,"$1,050,961"
31,349,"Chris Johnson, SG",Houston Rockets,"$1,050,961"
32,350,"John Jenkins, SG",Phoenix Suns,"$1,050,961"
33,RK,NAME,TEAM,SALARY
34,351,"Glenn Robinson III, SG",Indiana Pacers,"$1,050,500"
35,352,"Montrezl Harrell, PF",Houston Rockets,"$1,045,000"
36,353,"Ivica Zubac, C",Los Angeles Lakers,"$1,034,956"
37,354,"Richaun Holmes, PF",Philadelphia 76ers,"$1,025,831"
38,355,"Lorenzo Brown, PG",Toronto Raptors,"$1,015,696"
39,356,"Anthony Bennett, PF",Brooklyn Nets,"$1,015,696"
40,357,"Isaiah Canaan, PG",Chicago Bulls,"$1,015,696"
41,358,"Willie Reed, C",Miami Heat,"$1,015,696"
42,359,"Justin Holiday, SG",New York Knicks,"$1,015,696"
43,360,"Mike Muscala, PF",Atlanta Hawks,"$1,015,696"
0,RK,NAME,TEAM,SALARY
1,361,"Edy Tavares, C",Cleveland Cavaliers,"$1,000,000"
2,362,"Ty Lawson, PG",Sacramento Kings,"$980,431"
3,363,"James Michael McAdoo, SF",Golden State Warriors,"$980,431"
4,364,"Elton Brand, PF",Philadelphia 76ers,"$980,431"
5,365,"JaMychal Green, PF",Memphis Grizzlies,"$980,431"
6,366,"Brian Roberts, PG",Charlotte Hornets,"$980,431"
7,367,"Nate Wolters, PG",Utah Jazz,"$980,431"
8,368,"JaKarr Sampson, SF",Sacramento Kings,"$980,431"
9,369,"Will Bynum, PG",Atlanta Hawks,"$980,431"
10,370,"Stephen Zimmerman, C",Orlando Magic,"$950,000"
11,RK,NAME,TEAM,SALARY
12,371,"Andrew Harrison, SG",Memphis Grizzlies,"$945,000"
13,372,"Raul Neto, PG",Utah Jazz,"$937,800"
14,373,"Malcolm Brogdon, PG",Milwaukee Bucks,"$925,000"
15,374,"Tyler Ulis, PG",Phoenix Suns,"$918,369"
16,375,"Reggie Williams, SF",New Orleans Pelicans,"$895,197"
17,376,"Kevin Murphy, SG",Orlando Magic,"$874,636"
18,377,"Nick Johnson, SG",Orlando Magic,"$874,636"
19,378,"Branden Dawson, SF",Orlando Magic,"$874,636"
