Player,Player,Stats_SeasonEnd,Salary,missing
Eric Williams,18,18,15,3
Erick Barkley,2,2,2,0
Erick Dampier,16,16,14,2
Erick Green,7,7,7,0
Erick Strickland,11,11,7,4
Erik Daniels,1,1,1,0
Erik Murphy,1,1,0,1
Ernest Brown,1,1,1,0
Ersan Ilyasova,14,14,14,0
Ervin Johnson,13,13,13,0
Esteban Batista,2,2,2,0
Etan Thomas,9,9,9,0
Etdrick Bohannon,6,6,1,5
Eugene Jeter,1,1,1,0
Evan Eschmeyer,4,4,4,0
Evan Fournier,5,5,5,0
Evan Turner,9,9,9,0
Everette Stephens,1,1,0,1
Evers Burns,1,1,1,0
Evric Gray,1,1,0,1
Fab Melo,1,1,0,1
Fabricio Oberto,7,7,6,1
Fat Lever,4,4,3,1
Felipe Lopez,6,6,5,1
Felton Spencer,14,14,12,2
Festus Ezeli,3,3,3,0
Francisco Elson,13,13,12,1
Francisco Garcia,12,12,8,4
Frank Brickowski,9,9,8,1
Frank Johnson,2,2,2,0
Frank Kaminsky,2,2,2,0
Frank Kornet,2,2,1,1
Frank Williams,3,3,2,1
Frankie King,2,2,1,1
Fred Hoiberg,10,10,7,3
Fred Jones,9,9,9,0
Fred Roberts,7,7,5,2
Fred VanVleet,1,1,1,0
Fred Vinson,2,2,2,0
Furkan Aldemir,1,1,1,0
Gabe Pruitt,2,2,1,1
Gal Mekel,3,3,2,1
Gani Lawal,1,1,0,1
Garret Siler,1,1,0,1
Garrett Temple,17,17,13,4
Garth Joseph,3,3,3,0
Gary Alexander,3,3,0,3
Gary Forbes,2,2,2,0
Gary Grant,13,13,10,3
Gary Harris,3,3,3,0
Gary Leonard,3,3,2,1
Gary Neal,11,11,11,0
Gary Payton,21,21,20,1
Gary Plummer,1,1,1,0
Gary Trent,11,11,11,0
Gary Voce,1,1,0,1
Gaylon Nickerson,3,3,3,0
Geert Hammink,5,5,0,5
Geno Carlisle,1,1,1,0
George Hill,9,9,9,0
George Lynch,12,12,11,1
George McCloud,14,14,12,2
George Zidek,7,7,4,3
Georges Niang,1,1,1,0
Georgios Papagiannis,1,1,1,0
Gerald Brown,1,1,1,0
Gerald Fitch,1,1,1,0
Gerald Glass,8,8,8,0
Gerald Green,13,13,9,4
Gerald Henderson,15,15,3,12
Gerald Madkins,3,3,2,1
Gerald Paddio,6,6,2,4
Gerald Wallace,18,18,12,6
Gerald Wilkins,9,9,8,1
Gerard King,3,3,2,1
Gheorghe Muresan,6,6,6,0
Giannis Antetokounmpo,4,4,4,0
Gilbert Arenas,13,13,13,0
Glen Davis,11,11,10,1
Glen Rice,17,17,12,5
Glenn Robinson,16,16,15,1
God Shammgod,1,1,1,0
Goran Dragic,13,13,13,0
Gordan Giricek,13,13,8,5
Gordon Hayward,7,7,7,0
Gorgui Dieng,4,4,4,0
Grant Hill,18,18,16,2
Grant Jerrett,3,3,3,0
Grant Long,16,16,14,2
Greg Anderson,12,12,11,1
Greg Anthony,13,13,11,2
Greg Buckner,11,11,9,2
Greg Butler,2,2,0,2
Greg Dreiling,7,7,6,1
Greg Foster,17,17,14,3
Greg Graham,7,7,7,0
Greg Grant,11,11,2,9
Greg Kite,8,8,4,4
Greg Minor,5,5,5,0
Greg Monroe,7,7,5,2
Greg Oden,3,3,3,0
